,old_data,new_data
154,20998.0,25533.39923836873
155,24112.0,24895.51446462772
156,11900.0,19929.22144227056
157,23734.0,24577.95475864387
158,6500.0,12640.063293958781
159,22989.0,23459.024004147854
160,25440.0,27896.925998109626
161,27998.0,21786.055788912112
162,27967.0,24421.72101716604
163,22995.0,22183.341258755885
164,23750.0,24387.936603857903
165,17995.0,17973.863648665836
166,24999.0,17287.15580965276
167,4995.0,7758.82992818905
168,9500.0,9075.669776010327
169,14990.0,19679.62332152482
170,23314.0,22736.52140610991
171,11999.0,16526.89136595372
172,24768.0,21532.273220908362
173,14998.0,19198.188339833636
174,6995.0,13813.345304419752
175,8650.0,14000.319553147536
176,26216.0,24026.428545596078
177,25309.0,24683.040342756547
178,28268.0,25857.741174828727
179,24758.0,17199.760137077887
180,18995.0,23014.694937315304
181,23988.0,20610.117152830586
182,22531.0,22871.669122788822
183,29900.0,25332.548709169496
184,24995.0,14591.655630903319
185,18400.0,23001.776017821394
186,27990.0,23197.907958171098
187,23235.0,28628.495042370167
188,19998.0,19627.521846059943
189,11995.0,7536.657881830586
190,12277.0,16724.58252675715
191,21500.0,24582.10142187355
192,14999.0,14978.508205663413
193,29488.0,22022.273819409776
194,24032.0,23672.495356302243
195,25045.0,27896.88750468241
196,17495.0,19021.33939454402
197,15990.0,13502.607792442199
198,21147.0,23089.92112472444
199,25999.0,23295.64157655486
200,29500.0,21333.48170591006
201,22250.0,19605.8531818965
202,17995.0,21853.566586859757
203,29988.0,24308.55455143121
204,25999.0,26540.95702841645
205,26488.0,20708.22221498494
206,28490.0,23142.3662376157
207,18000.0,13194.097190812696
208,29998.0,24095.36660451931
209,14555.0,11248.422478381544
210,21575.0,23148.22215165943
211,18500.0,24727.498691019136
212,19847.0,21236.051360274665
213,23794.0,23521.82354129781
214,23080.0,28832.33662722935
215,16095.0,19559.714098888915
216,22060.0,24377.567646974465
217,25830.0,23124.69627437531
218,20999.0,21367.19453055272
219,22499.0,23356.515618543606
220,28195.0,21703.70961811277
221,26998.0,24166.619237108855
222,21994.0,24218.37793648336
223,14999.0,16702.694159503095
224,16955.0,22807.269703940023
225,24413.0,24630.73966290895
226,14999.0,20324.68063281942
227,28596.0,24421.634728589794
228,25988.0,24646.85063992534
229,28995.0,26375.752211777726
230,23998.0,23394.47486820328
